HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
789,672,12676,12676
790,672,12692,12692
791,672,12708,12708
792,672,12724,12724
793,672,12740,12740
794,672,12756,12756
795,672,12772,12772
796,640,12788,12788
797,640,12804,12804
798,672,12820,12820
799,672,12836,12836
800,672,12852,12852
801,672,12868,12868
802,672,12884,12884
803,704,12900,12900
804,672,12916,12916
805,672,12932,12932
806,672,12948,12948
807,672,12964,12964
808,672,12980,12980
809,672,12996,12996
810,672,13012,13012
811,672,13028,13028
812,672,13044,13044
813,672,13060,13060
814,640,13076,13076
815,672,13092,13092
816,672,13108,13108
817,672,13124,13124
818,672,13140,13140
819,704,13156,13156
820,672,13172,13172
821,672,13188,13188
822,672,13204,13204
823,672,13220,13220
824,640,13236,13236
825,704,13252,13252
826,704,13268,13268
827,672,13284,13284
828,672,13300,13300
829,672,13316,13316
830,672,13332,13332
831,672,13348,13348
832,672,13364,13364
833,640,13380,13380
834,672,13396,13396
835,672,13412,13412
836,672,13428,13428
837,672,13444,13444
838,672,13460,13460
839,672,13476,13476
840,672,13492,13492
841,672,13508,13508
842,672,13524,13524
843,672,13540,13540
844,672,13556,13556
845,672,13572,13572
846,672,13588,13588
847,672,13604,13604
848,704,13620,13620
849,640,13636,13636
850,672,13652,13652
851,672,13668,13668
852,672,13684,13684
853,640,13700,13700
854,736,13716,13716
855,704,13732,13732
856,672,13748,13748
857,640,13764,13764
858,672,13780,13780
859,640,13796,13796
860,672,13812,13812
861,672,13828,13828
862,672,13844,13844
863,704,13860,13860
864,672,13876,13876
865,800,13892,13892
866,672,13908,13908
867,4485472,13924,13924
868,672,13940,13940
869,704,13956,13956
870,672,13972,13972
871,672,13988,13988
872,672,14004,14004
873,672,14020,14020
874,704,14036,14036
875,672,14052,14052
876,704,14068,14068
877,704,14084,14084
878,672,14100,14100
879,672,14116,14116
880,704,14132,14132
881,672,14148,14148
882,672,14164,14164
883,672,14180,14180
884,704,14196,14196
885,640,14212,14212
886,672,14228,14228
887,704,14244,14244
888,704,14260,14260
889,672,14276,14276
890,768,14292,14292
891,800,14308,14308
892,672,14324,14324
893,704,14340,14340
894,672,14356,14356
895,704,14372,14372
896,672,14388,14388
897,800,14404,14404
898,704,14420,14420
899,672,14436,14436
900,672,14452,14452
901,672,14468,14468
902,704,14484,14484
903,704,14500,14500
904,672,14516,14516
905,704,14532,14532
906,672,14548,14548
907,864,14564,14564
908,704,14580,14580
909,672,14596,14596
910,704,14612,14612
911,672,14628,14628
912,832,14644,14644
913,672,14660,14660
914,672,14676,14676
915,704,14692,14692
916,704,14708,14708
917,672,14724,14724
918,672,14740,14740
919,704,14756,14756
920,704,14772,14772
921,672,14788,14788
922,672,14804,14804
923,704,14820,14820
924,704,14836,14836
925,672,14852,14852
926,672,14868,14868
927,704,14884,14884
928,704,14900,14900
929,800,14916,14916
930,736,14932,14932
931,672,14948,14948
932,704,14964,14964
933,672,14980,14980
934,672,14996,14996
935,736,15012,15012
936,736,15028,15028
937,704,15044,15044
938,704,15060,15060
939,704,15076,15076
940,672,15092,15092
941,704,15108,15108
942,672,15124,15124
943,672,15140,15140
944,672,15156,15156
945,704,15172,15172
946,672,15188,15188
947,672,15204,15204
948,672,15220,15220
949,704,15236,15236
950,704,15252,15252
951,672,15268,15268
952,704,15284,15284
953,800,15300,15300
954,704,15316,15316
955,672,15332,15332
956,704,15348,15348
957,704,15364,15364
958,736,15380,15380
959,704,15396,15396
960,704,15412,15412
961,736,15428,15428
962,704,15444,15444
963,672,15460,15460
964,736,15476,15476
965,672,15492,15492
966,768,15508,15508
967,672,15524,15524
968,736,15540,15540
969,704,15556,15556
970,704,15572,15572
971,704,15588,15588
972,672,15604,15604
973,672,15620,15620
974,800,15636,15636
975,704,15652,15652
976,672,15668,15668
977,672,15684,15684
978,704,15700,15700
979,704,15716,15716
980,704,15732,15732
981,672,15748,15748
982,672,15764,15764
983,672,15780,15780
